branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate,outstanding,weekly_disbursement,weekly_new_borrower_per_bp
POINTID_90,2018-10-13,AREAID_11,REGION_JH,2018-08-11,164,2,0%,400,5,2
POINTID_112,2018-10-13,AREAID_3,REGION_JR2,2018-09-29,22,1,0%,50,10,2
POINTID_55,2018-10-06,AREAID_24,REGIONID_JT,2017-11-04,1333,5,0%,2100,175,3
POINTID_34,2018-10-06,AREAID_27,REGION_JR1,2017-07-15,1854,6,0%,4000,150,7
POINTID_49,2018-10-06,AREAID_21,REGION_JR1,2017-09-16,1842,8,2.5%-5%,3600,30,3
POINTID_53,2018-10-06,AREAID_24,REGIONID_JT,2017-11-11,1676,8,0%,2800,190,8
POINTID_50,2018-10-06,AREAID_29,REGION_JH,2017-09-09,1204,6,5%-10%,2450,65,3
POINTID_23,2018-10-06,AREAID_7,REGIONID_N,2017-05-06,1371,9,2.5%-5%,2900,125,4
POINTID_22,2018-10-06,AREAID_7,REGIONID_N,2017-04-29,1135,7,5%-10%,2200,40,4
POINTID_62,2018-10-06,AREAID_13,REGION_JR2,2018-05-05,597,3,0%,1400,85,10
POINTID_81,2018-10-06,AREAID_26,REGIONID_N,2018-07-21,299,2,0%,800,45,8
POINTID_94,2018-10-06,AREAID_23,REGION_JR2,2018-07-28,414,3,0%,1100,60,20
POINTID_41,2018-10-06,AREAID_27,REGION_JR1,2017-08-19,1067,5,5%-10%,1850,0,
POINTID_17,2018-10-06,AREAID_8,REGIONID_JT,2017-03-25,2709,11,0%,5650,350,1
POINTID_118,2018-10-06,AREAID_20,REGION_JH,2017-06-03,688,5,5%-10%,1000,0,1
POINTID_105,2018-10-06,AREAID_12,REGION_JR1,2018-08-25,224,4,0%,600,70,8
POINTID_109,2018-10-06,AREAID_13,REGION_JR2,2018-09-08,145,2,0%,400,125,22
POINTID_98,2018-10-06,AREAID_10,REGIONID_JT,2018-07-14,345,2,0%,950,65,11
POINTID_96,2018-10-06,AREAID_18,REGION_JR2,2018-08-18,178,2,0%,450,10,2
POINTID_16,2018-10-06,AREAID_8,REGIONID_JT,2017-03-25,2666,10,1%-2.5%,6000,285,0
POINTID_68,2018-10-06,AREAID_5,REGIONID_N,2018-06-30,480,2,0%,1450,35,6
